city_code,prefecture,city,pref_kana,city_kana,manhole_url,status
11002,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,https://we-love-manho.com/hokkaidou/sapporo/sapporo.html,OK
12025,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,https://we-love-manho.com/hokkaidou/hakodate/hakodate.html,OK
12033,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,https://we-love-manho.com/hokkaidou/otaru/otaru.html,OK
12041,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,https://we-love-manho.com/hokkaidou/asahikawa/asahikawa.html,OK
12050,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,https://we-love-manho.com/hokkaidou/murorann/murorann.html,OK
12068,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,https://we-love-manho.com/hokkaidou/kusiro/kusiro.html,OK
12076,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,https://we-love-manho.com/hokkaidou/obihiro/obihiro.html,OK
12084,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,https://we-love-manho.com/hokkaidou/kitamisi/kitamisi.html,OK
12092,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,https://we-love-manho.com/hokkaidou/yuubarisi/yuubarisi.html,OK
12106,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,https://we-love-manho.com/hokkaidou/iwamizawa/iwamizawa.html,OK
12114,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,https://we-love-manho.com/hokkaidou/abasiri/abasiri.html,OK
12122,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,https://we-love-manho.com/hokkaidou/rumoisi/rumoisi.html,OK
